ID, válaszok

1;1949. február 14.-ben született.;1967. január 9.;1957. március 26.;1987. október 19.
2;Izraelben;Lengyelországban;Magyarországon;Amerikában
3;25 millió forint;30 millió forint;40 millió forint;50 millió forint
4;Egyesült Királyság;Magyarországon;Horvátország;Oroszország
5;15 kérdésre;20 kérdésre;25 kérdésre;30 kérdésre
6;kapcsoltam;a fele sem igaz;átVágó;Van benne valami
7;2017;2016;2018;2019
8;Vágó István és Sebestyén Balázs;Ördög Nóra és Majka;Till Attila és Kasza Tibi;Istenes Bence és Csobot Adél
9;India;Kolumbia;Egyiptom;Brazília
10;3 játékos;4 játékos;5 játékos;6 játékos
11;2011-ben.;2012-ben.;2013-ban.;2014-ben.
12;Jakupcsek Gabriella;Kasza Tibi;Gundel Takács Gábor;Sebestyén Balázs
13;20;15;10;5;40
14;celebek;történészek;kvíznyertesek;gyerekek
15;10 táskával;15 táskával;20 táskával;25 táskával
16;triviador;Kahoot;Kvizoid;QuizUp
